"ID"	"Study.name"	"Outcome"	"PERSON"	"Sample.size"	"Correlation"	"Fisher.s.Z"	"Std.Err"	"Full.Reference"	"Long.Dup"	"raw.r."	"Study"	"SEX"	"Best."	"AGE"	"East.West"	"setting2"	"Setting"	"1st"	"2nd"	"3rd"	"4th"	"aveORonlyR"	"aveDVs"	"Country"	"Pub"	"z"	"t"	"df"	"d_est"	"p.onetail"	"p.twotail"
"31"	"AF86AA"	"AggAff"	"Third"	40	0.531	0.591536813605702	0.164398987305357	"Anderson, C. A., & Ford, C.M. (1986).  Affect of the game player:  Short term effects of highly and mildly aggressive video games.  Personality and Social Psychology Bulletin, 12, 390-402."	"Exp"	"y"	2	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.531"	"."	"US"	"Journal"	3.59817796509277	3.86288965640644	38	1.25328689946715	0.000211603184073112	0.000423206368146224
"32"	"AGB07AA2"	"AggAff"	"."	189	0.2334	0.237782354805469	0.0733235575106767	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	2	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.2334"	"."	"US"	"Book"	3.24291895917414	3.28235292541059	187	0.480058836121157	0.00061422182327846	0.00122844364655692
"41"	"AGB07AB2"	"AggBeh"	"."	189	0.457	0.493512743130635	0.0733235575106767	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	2	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.457"	"."	"US"	"Book"	6.7306164605935	7.02598652704871	187	1.02758203990389	1.92058707731786e-11	3.84117415463572e-11
"44"	"AGB07AB3"	"AggBeh"	"."	356	0.382	0.402399273434962	0.0532246295412349	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	3	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.382"	"T1,T2"	"US"	"Book"	7.56039594645201	7.77708301655844	354	0.826694597530982	4.09310123541899e-14	8.18620247083798e-14
"46"	"AGB07AB3L"	"AggBeh"	"."	365	0.398	0.421270238742467	0.0525588331227637	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"L"	"y"	3	"MF"	"y"	"Child"	"West"	"Long"	"Long"	"."	"."	"."	"."	"0.398"	"."	"US"	"Book"	8.01521292831007	8.2657935367122	363	0.867683295179392	1.32123942170956e-15	2.64247884341912e-15
"50"	"AGB07AC2"	"AggCog"	"."	188	0.335	0.348449765089248	0.0735214622093808	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	2	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.335"	"."	"US"	"Book"	4.7394292036372	4.84897364485156	186	0.711087995832057	1.30622353663756e-06	2.61244707327513e-06
"53"	"AGB07AC3"	"AggCog"	"."	351	0.183	0.185084884559192	0.0536056267418897	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	3	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.183"	"T1,T2"	"US"	"Book"	3.45271375056154	3.47744606337778	349	0.37228684020407	0.00028509288057372	0.000570185761147439
"55"	"AGB07AC3L"	"AggCog"	"."	354	0.232	0.236302205472896	0.0533760512683624	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"L"	"y"	3	"MF"	"y"	"Child"	"West"	"Long"	"Long"	"."	"."	"."	"."	"0.236"	"."	"US"	"Book"	4.42712040058609	4.47479714890067	352	0.477014978845833	5.17022121299866e-06	1.03404424259973e-05
"59"	"AGB07PB3"	"ProsBeh"	"."	352	-0.316	-0.327197097131356	0.0535287727572189	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"Blank"	"y"	3	"MF"	"y"	"Child"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"-0.316"	"T1,T2"	"US"	"Book"	-6.11254621164895	-6.23110556969063	350	-0.666133205217177	0.999999999334746	1.33050722263945e-09
"61"	"AGB07PB3L"	"ProsBeh"	"."	357	-0.301	-0.310618868139347	0.0531494003452734	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	"L"	"y"	3	"MF"	"y"	"Child"	"West"	"Long"	"Long"	"."	"."	"."	"."	"-0.301"	"."	"US"	"Book"	-5.84425912844698	-5.94707527991566	355	-0.631275965947475	0.999999996731217	6.53756573303116e-09
"65"	"AM03AA"	"AggAff"	"Third"	90	0.1864	0.188604973044686	0.107211253483779	"Anderson, C. A., & Murphy, C.R. (2003). Violent video games and aggressive behavior in young women. Aggressive Behavior, 29, 423-429."	"Exp"	"y"	1	"F"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1864"	"."	"US"	"Journal"	1.75919007488539	1.77977952044143	88	0.379450268713158	0.0392820601511135	0.078564120302227
"66"	"AM03AB"	"AggBeh"	"Third"	90	0.2698	0.276648108757407	0.107211253483779	"Anderson, C. A., & Murphy, C.R. (2003). Violent video games and aggressive behavior in young women. Aggressive Behavior, 29, 423-429."	"Exp"	"y"	1	"F"	"y"	"Adult"	"West"	"Exp"	"Exp"	"0.269800"	"0.236000"	"."	"."	"0.253"	"#hi, ave.int"	"US"	"Journal"	2.58040177470049	2.62841965259987	88	0.560380952817458	0.00506080091304954	0.0101216018260991
"67"	"B00AA"	"AggAff"	"Third"	40	0.176	0.17785179927455	0.164398987305357	"Brooks, M. C. (2000). Press start: Exploring the effects of violent video games on boys. Dissertation Abstracts International Section B: The Sciences and Engineering, 60(12-B), 6419."	"NB"	"y"	1	"M"	"n"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.176"	"."	"US"	"Dissertation (unpub)"	1.08183026057335	1.10214110358814	38	0.35758179222139	0.1386660565773	0.277332113154601
"68"	"B00AC"	"AggCog"	"Third"	40	0.059	0.0590686030080134	0.164398987305357	"Brooks, M. C. (2000). Press start: Exploring the effects of violent video games on boys. Dissertation Abstracts International Section B: The Sciences and Engineering, 60(12-B), 6419."	"NB"	"y"	1	"M"	"n"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.059"	"."	"US"	"Dissertation (unpub)"	0.359300285094205	0.364335104234172	38	0.118205916753384	0.358813704405514	0.717627408811028
"69"	"B00PA"	"PhysArous"	"Third"	40	0.152	0.153187102731967	0.164398987305357	"Brooks, M. C. (2000). Press start: Exploring the effects of violent video games on boys. Dissertation Abstracts International Section B: The Sciences and Engineering, 60(12-B), 6419."	"NB"	"y"	1	"M"	"n"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.152"	"."	"US"	"Dissertation (unpub)"	0.931800768622954	0.948006293710145	38	0.307573856413134	0.174558207446581	0.349116414893162
