	Study name	Outcome	PERSON	Sample size        	Correlation	Cor.Joe	Fisher's Z	Z.Joe	Std Err	Std.Err.Joe	t	df	p	Full Reference	Long Dup	raw r?	Study	SEX	Best?	Best.Joe	AGE	East/West	setting2	Setting	1st	2nd	3rd	4th	aveORonlyR	aveDVs	Country	Concern	Test	p-value	
25	AEC06PAF	PhysArous	First	34	0.6306		0.742411628		0.179605302					"Arriaga, P., Esteves, F., Carneiro, P., & Monteiro, M.B. (2006). Violent computer games and their effects on state hostility and physiological arousal. Aggressive Behavior, 32, 358-371."	Exp	y	1	F	y		Adult	West	Exp	Exp	0.693	0.553	.	.	0.6306	"SC,hr"	Portugal				
26	AEC06PAM	PhysArous	First	53	0.0956		9.59E-02		0.141421356					"Arriaga, P., Esteves, F., Carneiro, P., & Monteiro, M.B. (2006). Violent computer games and their effects on state hostility and physiological arousal. Aggressive Behavior, 32, 358-371."	Exp	y	1	M	y		Adult	West	Exp	Exp	-0.0431	0.229	.	.	0.0956	"SC,hr"	Portugal				
30	AEC08PA	PhysArous	First	148	0.05		5.00E-02		0.08304548					"Arriaga, P., Esteves, F., Carneiro, P., & Monterio, M. B. (2008). Are the effects of Unreal violent video games pronounced when playing with a virtual reality system? Aggressive Behavior, 34, 521-538."	NB	y	1	MF	n		Adult	West	Exp	Exp	.	.	.	.	0.05	.	Portugal				
198	GAYipAC1b	AggCog	.	727	0.1135		0.113991181		3.72E-02					"Gentile, D. A.,  Anderson,  C. A., Yukawa. S., Ihori, N.,  Saleem, M.,  Ming, L. K., Shibuya, A., Liau, A. K., Khoo, A., & Sakamoto, A. (in press). The Effects of Prosocial Video Games on Prosocial Behaviors: International Evidence from Correlational, Experimental, and Longitudinal Studies. Personality and Social Psychology Bulletin,"	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	0.099	0.126	.	.	0.1135	"NormBel,HAB"	Singapore				
199	GAYipEm1b	Empathy	.	727	-0.16		-0.161386696		3.72E-02					"Gentile, D. A.,  Anderson,  C. A., Yukawa. S., Ihori, N.,  Saleem, M.,  Ming, L. K., Shibuya, A., Liau, A. K., Khoo, A., & Sakamoto, A. (in press). The Effects of Prosocial Video Games on Prosocial Behaviors: International Evidence from Correlational, Experimental, and Longitudinal Studies. Personality and Social Psychology Bulletin,"	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	.	.	.	.	-0.16	.	Singapore				
200	GAYipPB1b	ProsBeh	.	727	-0.168		-0.169607861		3.72E-02					"Gentile, D. A.,  Anderson,  C. A., Yukawa. S., Ihori, N.,  Saleem, M.,  Ming, L. K., Shibuya, A., Liau, A. K., Khoo, A., & Sakamoto, A. (in press). The Effects of Prosocial Video Games on Prosocial Behaviors: International Evidence from Correlational, Experimental, and Longitudinal Studies. Personality and Social Psychology Bulletin,"	Blank	n	1	MF	y		Child	East	Nonexp	NonexpS	-0.168	-0.018	.	.	-0.0938	"Help,coop/share"	Singapore				
340	SAR07AA	AggAff	.	2208	0.09		9.02E-02		0.021295885					"Santisteban, C., Alvarado, J., Recio, P., (2007). Evaluation of a Spanish version of the Buss and Perry aggression questionnaire: Some personal and situational factors related to the aggression scores of young subjects. Personality and Individual Differences. Vol 42(8), Jun 2007, pp. 1453-1465."	NB	y	1	MF	n		Child	West	Nonexp	Nonexp	.	.	.	.	0.09	.	Spain				
341	SAR07AB	AggBeh	.	2208	0.26		0.266108407		0.021295885					"Santisteban, C., Alvarado, J., Recio, P., (2007). Evaluation of a Spanish version of the Buss and Perry aggression questionnaire: Some personal and situational factors related to the aggression scores of young subjects. Personality and Individual Differences. Vol 42(8), Jun 2007, pp. 1453-1465."	NB	y	1	MF	n		Child	West	Nonexp	Nonexp	.	.	.	.	0.26	.	Spain				
432	WAS08AB1	AggBeh	.	1129	0.166		0.167550482		2.98E-02					"Wittman, M., Arce, E., & Santisteban, C. (2008). How impulsiveness, trait anger, and extracurricular activities might affect aggression in school children. Personality and Individual Differences, 45, 618-623."	NB	y	1	MF	n		Child	West	Nonexp	Nonexp	.	.	.	.	0.166	.	Spain				
433	WAS08AB2	AggBeh	.	1093	0.107		0.107411176		3.03E-02					"Wittman, M., Arce, E., & Santisteban, C. (2008). How impulsiveness, trait anger, and extracurricular activities might affect aggression in school children. Personality and Individual Differences, 45, 618-623."	NB	y	2	MF	n		Child	West	Nonexp	Nonexp	.	.	.	.	0.107	.	Spain				
342	SAR07AC	AggCog	.	2208	0.09		9.02E-02		0.021295885					"Santisteban, C., Alvarado, J., Recio, P., (2007). Evaluation of a Spanish version of the Buss and Perry aggression questionnaire: Some personal and situational factors related to the aggression scores of young subjects. Personality and Individual Differences. Vol 42(8), Jun 2007, pp. 1453-1465."	NB	y	1	MF	n		Child	West	Nonexp	Nonexp	.	.	.	.	0.09	.	Spain				
254	K04ABF	AggBeh	.	2143	0.3779		0.397607514		2.16E-02					"Kuntsche, E.N. (2004). Hostility among adolescents in Switzerland? Multivariate relations between excessive media uee and forms of violence. Journal of Adolescent Health, 34, 230-236."	NB	y	1	F	n		Child	West	Nonexp	NonexpS	0.1307	0.5406	0.4105	.	0.3379	"bully,hit,fight"	Switzwerland				
140	CP00ABF	AggBeh	.	89	0.119		0.119566541		0.107832773					"Colwell, J., & Payne, J. (2000). Negative correlates of compute game play in adolescents. British Journal of Psychology, 91, 295--310."	Blank	y	1	F	y		Child	West	Nonexp	NonexpS	0.13	0.11	.	.	0.119	"Man, ABdel"	UK				
141	CP00ABM	AggBeh	.	79	0.156		0.157284277		0.114707867					"Colwell, J., & Payne, J. (2000). Negative correlates of compute game play in adolescents. British Journal of Psychology, 91, 295--310."	Blank	y	1	M	y		Child	West	Nonexp	NonexpS	0.17	0.14	.	.	0.156	"Man, ABdel"	UK				
142	CP00ACF	AggCog	.	96	0.15		0.151140436		0.103695169					"Colwell, J., & Payne, J. (2000). Negative correlates of compute game play in adolescents. British Journal of Psychology, 91, 295--310."	Blank	y	1	F	y		Child	West	Nonexp	NonexpS	.	.	.	.	0.15	.	UK				
143	CP00ACM	AggCog	.	76	0.25		0.255412812		0.117041147					"Colwell, J., & Payne, J. (2000). Negative correlates of compute game play in adolescents. British Journal of Psychology, 91, 295--310."	Blank	y	1	M	y		Child	West	Nonexp	NonexpS	.	.	.	.	0.25	.	UK				
220	H95AB	AggBeh	.	96	0.331		0.343950879		0.103695169					"Hind, P. A. (1995). A study of reported satisfaction with differentially aggressive computer games amonst incarcerated young offenders.  Issues in Criminological and Legal Psychology, No. 22: Criminal Behavior: Perceptions, Attributions, and Rationality. "	NB	y	1	M	n		Child	West	Nonexp	NonexpS	.	.	.	.	0.331	.	UK				
231	HN94AB	AggBeh	Third	616	0.1663		0.167858999		0.04038962					"Hagell, A. & Newburn, T. (1994). Young Offenders and the Media: Viewing Habits and Preferences."	NB	y	1	MF	n		Child	West	Nonexp	Nonexp	0.1922	0.14	.	.	0.1663	"time, pref"	UK				
15	ACipAA2	AggAff	Third	148	0.2122		0.215473959		0.08304548					"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	Exp	y	2	MF	y		Adult	West	Exp	Exp	0.2646	0.1579	.	.	0.2122	"aggra,mean"	US				
31	AF86AA	AggAff	Third	40	0.531		0.591536814		0.164398987					"Anderson, C. A., & Ford, C.M. (1986).  Affect of the game player:  Short term effects of highly and mildly aggressive video games.  Personality and Social Psychology Bulletin, 12, 390-402."	Exp	y	2	MF	y	n	Adult	West	Exp	Exp	.	.	.	.	0.531	.	US	1			"I read 60 subjects. What's the effect size calculated between? Both games included ""violence"" and were compared against no-game control condition."
65	AM03AA	AggAff	Third	90	0.1864		0.188604973		0.107211253					"Anderson, C. A., & Murphy, C.R. (2003). Violent video games and aggressive behavior in young women. Aggressive Behavior, 29, 423-429."	Exp	y	1	F	y		Adult	West	Exp	Exp	.	.	.	.	0.1864	.	US				
84	BBR09AA	AggAff	Third	88	0.281		0.288767472		0.108465229					"Barlett, C. P., Branch, O., Rodeheffer, C., & Harris, R. J. (2009). How long do the short term video game effects last? Aggressive Behavior, 35, 225-236."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.281	.	US				
93	BHP06AA	AggAff	Third	41	0.2626		0.26889894		0.162221421					"Ballard, M. E., Hamby, R. H., Panee, C. D., & Nivens, E. E. (2006). Repeated exposure to video game play results in decreased blood pressure responding. Media Psychology, 8, 323-341."	Exp	y	1	MF	y		Child	West	Exp	Exp	0.2962	0.2753	0.2149	.	0.2626	"Sang, 3 sessions"	US				
96	BM06AA1	AggAff	Third	50	0.2169		0.220400759		0.145864991					"Brady, S.S., & Mathews, K.A. (2006). Effects of media violence on health-related outcomes among young men. Archives of Pediatric & Adolescent Medicine, 160, 341-347."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.2169	.	US				
97	BM06AA2	AggAff	Third	50	0.2457		0.250831367		0.145864991					"Brady, S.S., & Mathews, K.A. (2006). Effects of media violence on health-related outcomes among young men. Archives of Pediatric & Adolescent Medicine, 160, 341-347."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.2457	.	US				
104	BR09AA	AggAff	Third	68	0.251		0.256479763		0.124034735					"Barlett, C. P., & Rodeheffer, C. 2009). Effects of realism on extended violent and nonviolent video game play on aggressive thoughts, feelings, and physiological arousal. Aggressive Behavior, 35, 213-224."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.251	.	US				
107	BRB08AA2	AggAff	Third	97	0.249		0.254346429		0.103142125					"Barlett, C. P., Rodeheffer, C., Baldassaro, R., Hinkin, M., & Harris, R. J. (2008). The effect of advances in video game technology and content on aggressive cognitions, hostility, and heart rate. Media Psychology, 11, 540-565."	Exp	y	2	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.249	.	US				
119	BW96AA	AggAff	Third	30	0.8686		1.32734933		0.19245009					"Ballard, M. E., & Weist, J. R. (1996). Mortal Kombat: The effects of violent video game play on males’ hostility and cardiovascular responding. Journal of Applied Social Psychology, 26, 717-730."	Exp	y	1	M	y		Adult	West	Exp	Exp	0.898	0.826	.	.	0.8686	"BDHI,BAI"	US				
125	CA05AA1	AggAff	Third	50	0.3893		0.410974731		0.145864991					"Carnagey, N. L., & Anderson, C.A. (2005). The effects of reward and punishment in violent video games on aggressive affect, cognition, and behavior. Psychological Science, 16, 882-889."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.3893	.	US				
167	F83AA	AggAff	Third	24	0.524		0.581837941		0.21821789					"Favaro, P. J. (1983). The effects of video game play on mood, physiological arousal and psychomotor performance. Dissertation: Hofstra University."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.524	.	US				
235	IK07AA	AggAff	First	120	0.1811		0.183119755		9.25E-02					"Ivory, J. D., & Kalyaraman, S. (2007). The effects of technological advancement and violent content in video games on players' feelings of presence, involvement, physiological arousal, and aggression. Journal of Communication, 57, 532-555."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.1811	.	US				
296	MSipAA	AggAff	First	118	0.28		0.287682072		9.33E-02					"Markey, P. M., & Scherer, K. (in press). An examination of psychoticism and motion capture controls as moderators of the effects of violent video games. Computers in Human Behavior."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.28	.	US				
331	PB02AA	AggAff	Third	36	0.6043		0.699893227		0.174077656					"Panee, C. D., & Ballard, M. E. (2002). High versus Low Aggressive Priming During Video Game Training: Effects on violent action during game play, hostility, heart rate, and blood pressure. Journal of Applied Social Psychology, 32, 2458-2474."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.6043	.	US				
7	ACF04AB2	AggBeh	First	184	0.2445	0.068095	0.24955467	0.068200544	0.0743	0.074329415	0.917544484	182	0.360071688	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	Exp	y	2	MF	y	y	Adult	West	Exp	Exp	0.2469	-0.0257	0.025	0.02618	0.1915	"T1 provoked, T1 ambiguous, ave24Int provoked, ave24Int ambiguous"	US	1	"F(1,179)=5.72"	0.0178	"Craig originally reported just n=90 where the provocation pattern had the bigger effect size. Here I think my choice of things to average together is being generous considering that I'm weighting the 1st trial as highly as the other 24 together. Std.Err was .107 at n=90, is now .0743 at n=184"
8	ACF04AB3	AggBeh	First	204	0.1883	0.185	0.19057409	0.18715497	7.05E-02	0.070534562	2.653379648	202	0.008602957	"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	Exp	y	3	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.1883	.	US	0	"F(1,195)=7.17"	0.008	Previous study w/ ambiguous pattern focused on T1; now effect of interest is all trials mean
16	ACipAB3	AggBeh	Third	103	0.2441	0.2418	0.249129282	0.246685008	0.1	0.1	2.466850079	101	0.015313527	"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	Exp	y	3	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.2441	.	US		"F(1, 99) = 6.27"	0.0139	"Did #high, mean intensity also reported. Not averaged together like the others."
22	AD00AB2	AggBeh	First	196	0.1585	0.1557	0.159847665	0.156976809	7.20E-02	0.071981575	2.180791529	194	0.030401862	"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	Exp	y	2	MF	y	y	Adult	West	Exp	Exp	0.1133	0.1585	.	.	0.136	"win  duration, lose duration"	US				
37	AGB07AB1oe	AggBeh	Third	354	0.108	0.09	0.108422867	0.090244188	5.34E-02	0.053376051	1.690724318	352	0.09177468	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	Exp	y	1	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.108	.	US	1			r = .09
40	AGB07AB1ye	AggBeh	Third	161	0.1724	0.12	0.174139131	0.120581028	0.079555728	0.079555728	1.515680025	159	0.131585801	"Anderson, C.A., Gentile, D.A., & Buckley, K.E. (2007). Violent Video Game Effects on Children and Adolescents: Theory, Research, and Public Policy. New York: Oxford University Press. "	Exp	y	1	MF	y	y	Child	West	Exp	Exp	.	.	.	.	0.1724	.	US	1			r = 0.12
66	AM03AB	AggBeh	Third	90	0.2698	0.268	0.276648109	0.274707811	0.107211253	0.107211253	2.562303878	88	0.012098558	"Anderson, C. A., & Murphy, C.R. (2003). Violent video games and aggressive behavior in young women. Aggressive Behavior, 29, 423-429."	Exp	y	1	F	y	y	Adult	West	Exp	Exp	0.2698	0.236	.	.	0.253	"#hi, ave.int"	US		"F(1, 87)=6.83"	0.0106	
79	BA02ABF	AggBeh	Third	20	0.3792	NA	0.399124966	#VALUE!	0.242535625	0.242535625	NA	18	NA	"Bartholow, B. D., & Anderson, C. A.  (2002). Effects of Violent Video Games on Aggressive Behavior: Potential Sex Differences. Journal of Experimental Social Psychology, 38, 283-290."	Exp	y	1	F	y	y	Adult	West	Exp	Exp	0.2406	0.4963	.	.	0.3792	"aveInt, #HiInt"	US		t(20) = 1.12		Simple slopes for men and women? Should it be just main effect across both? Why two lines?
80	BA02ABM	AggBeh	Third	19	0.5666	NA	0.642500928	#VALUE!	0.25	0.25	NA	17	NA	"Bartholow, B. D., & Anderson, C. A.  (2002). Effects of Violent Video Games on Aggressive Behavior: Potential Sex Differences. Journal of Experimental Social Psychology, 38, 283-290."	Exp	y	1	M	y	y	Adult	West	Exp	Exp	0.5753	0.5578	.	.	0.5666	"aveInt, #HiInt"	US		t(19) = 3.09		Simple slopes for men and women? Should it be just main effect across both? Why two lines?
79	BA02AB	AggBeh	Third	39	NA	0.4851		0.529632341	0.1667	0.166666667	3.177794046	37	0.002993459	"Bartholow, B. D., & Anderson, C. A.  (2002). Effects of Violent Video Games on Aggressive Behavior: Potential Sex Differences. Journal of Experimental Social Psychology, 38, 283-290."	Exp	y	1	MF	y	y	Adult	West	Exp	Exp	0.4797	0.4905	.	.		"aveInt, #HiInt"	US	1	"F(1, 35) =  11.06"	0.0021	"Was originally two separate lines as though two separate studies (n=20, r=.2406,.4963) and (n=19, r=.5753,.5578) "
85	BBR09AB	AggBeh	Third	79	0.377	0.378	0.39655799	0.397724179	0.115470054	0.114707867	3.467279011	77	0.000863459	"Barlett, C. P., Branch, O., Rodeheffer, C., & Harris, R. J. (2009). How long do the short term video game effects last? Aggressive Behavior, 35, 225-236."	Exp	y	1	MF	y	n	Adult	West	Exp	Exp	.	.	.	.	0.377	chili (stdized and summed quantity & heat)	US	1	F(1.75)=12.86	0.0006	"Not really ""best practices"" since paper does not report F with covariate, just that it is ""similar"""
94	BL99AB	AggBeh	Third	119	0.215	0.0764	0.218407819	0.076549171	9.45E-02	0.092847669	0.8244598	117	0.411355987	"Ballard, M. E., & Lineberger, R. (1999). Video game violence and confederate gender: Effects on reward and punishment given by college males. Sex Roles, 41, 541-558."	Exp	y	1	M	y	n	Adult	West	Exp	Exp	.	.	.	.	0.215	jellybean reward / coldpressor punish	US		"F(3,111)=3.19"	0.0265	"Was n=115, but I don't see any report of dropping 4 subjects. Reported means & SDs do not match graph! Craig has decided that NBA Jam is also violent (Deselms & Altman, 2003, experiments 1 & 2)"
98	BM06AB1	AggBeh	Third	50	0.4286	NA	0.458180366	NA	0.145864991	0.145864991	NA	48	NA	"Brady, S.S., & Mathews, K.A. (2006). Effects of media violence on health-related outcomes among young men. Archives of Pediatric & Adolescent Medicine, 160, 341-347."	Exp	y	1	M	y	n	Adult	West	Exp	Exp	.	.	.	.	0.4286	prisoner's dilemma	US				
99	BM06AB2	AggBeh	Third	50	0.022	NA	2.20E-02	NA	0.145864991	0.145864991	NA	48	NA	"Brady, S.S., & Mathews, K.A. (2006). Effects of media violence on health-related outcomes among young men. Archives of Pediatric & Adolescent Medicine, 160, 341-347."	Exp	y	1	M	y	n	Adult	West	Exp	Exp	.	.	.	.	0.022	prisoner's dilemma	US				Two lines. Not sure what the heck the two lines are supposed to represent.
	BM06AB	AggBeh	Third	100	NA	0.21		0.213171347	0.1015	0.101534617	2.09949428	98	0.038342546	"Brady, S.S., & Mathews, K.A. (2006). Effects of media violence on health-related outcomes among young men. Archives of Pediatric & Adolescent Medicine, 160, 341-347."	Exp	y	1	M	y	n	Adult	West	Exp	Exp	.	.	.	.	0.21	prisoner's dilemma	US		Table		"I take just the one line and use the correlation reported.  Is the prisoner's dilemma really ""aggressive behavior""? CONTROL CONDITION CONTAINED ""VIOLENCE"""
114	BSD05AB2	AggBeh	First	76	0.26	0.26	0.266108407	0.266108407	0.117041147	0.117041147	2.273631225	74	0.025889642	"Bartholow, B. D., Sestir, M. A. & Davis, M. D. (2005).  Correlates and consequences of exposure to videogame violence:  Hostile personality, empathy, and aggressive behavior.  Personality and Social Psychology Bulletin, 31, 1573-1586."	Exp	y	2	M	y	y	Adult	West	Exp	Exp	.	.	.	.	0.26	.	US		B reported in table 3		"Main effects of VVE, Frustration, & Performance"
132	CA05AB3e	AggBeh	Third	90	0.2149	0.2113	0.218302975	0.214531711	0.107211253	0.107211253	2.001018586	88	0.048471829	"Carnagey, N. L., & Anderson, C.A. (2005). The effects of reward and punishment in violent video games on aggressive affect, cognition, and behavior. Psychological Science, 16, 882-889."	Exp	y	3	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.2149	.	US		"F(1, 135) = 6.50"	0.0119	May overestimate precision if SE based on all N -- effect size derived from just two of three groups.
136	CC06AB	AggBeh	Third	64	0.1875	0.186	0.189744811	0.188190607	0.12803688	0.12803688	1.469815626	62	0.146668248	"Cicchirillo, V. & Chory-Assad, R.M. (2006). Effects of affective orientation and video game play on aggressive thoughts and behaviors. Journal of Broadcasting & Electronic Media, 49, 435-449."	Exp	y	1	MF	y	y	Adult	West	Exp	Exp	0.2158	0.2553	0.0872	.	0.1875	eval. Of exp.	US		t(62)=-2.08	0.0208	"Three evaluations of experimenter collected, p=.09, p=.04, and p=.49"
197	GAYipAB3	AggBeh	Third	161	0.2	0.2306	0.202732554	0.234823072	0.079555728	0.079555728	2.951680246	159	0.003639249	"Gentile, D. A.,  Anderson,  C. A., Yukawa. S., Ihori, N.,  Saleem, M.,  Ming, L. K., Shibuya, A., Liau, A. K., Khoo, A., & Sakamoto, A. (in press). The Effects of Prosocial Video Games on Prosocial Behaviors: International Evidence from Correlational, Experimental, and Longitudinal Studies. Personality and Social Psychology Bulletin,"	Exp	y	3	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.2	tangram	US		"F(1, 155) = 8.35"	0.0044	"Here I used the ""violent vs all others"" although ""violent vs neutral"" may be more appropriate, or maybe should be two lines"
234	IG95ABb	AggBeh	Third	60	0.307		0.317229857	0.317229857	0.132453236	0.132453236	2.3950329	58	0.019869016	"Irwin, A. R., & Gross, A. M. (1995). Cognitive tempo, violent video games, and aggressive behavior in young boys. Journal of Family Violence, 10, 337-350."	Exp	y	1	M	y	y	Child	West	Exp	Exp	0.2852	0.4965	0.1212	0.2847	0.307	2 p & 2 v 	US				
345	SG05AB	AggBeh	First	48	0.3123	0.3123	0.323091953	0.323091953	0.149071198	0.149071198	2.167366708	46	0.035419367	"Sheese, B. E. & Graziano W. G. (2005) Deciding to defect:  The effects of video-game violence on cooperative behavior.  Psychological Science 16, 354-357."	Exp	y	1	MF	y	y	Adult	West	Exp	Exp	.	.	.	.	0.3123	prisoner's dilemma	US		t(46)=2.23	0.0153	
350	SMP88AB	AggBeh	Third	31	0.307		0.317229857	0.317229857	0.188982237	0.188982237	1.678622621	29	0.103971146	"Schutte, N. S., Malouff, J. M., Post-Gorden, J. C., & Rodasta, A. L. (1988). Effects of playing video games on children’s aggressive and other behaviors. Journal of Applied Social Psychology, 18, 454-460."	Exp	y	1	MF	y	y	Child	West	Exp	Exp	.	.	.	.	0.307	free play observed	US				
11	ACF04AC1	AggCog	both	130	0.1852		0.187362066		8.87E-02					"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., & Valentine, J. C. (2004). Violent video games: Specific effects of violent content on aggressive thoughts and behavior. Advances in Experimental Social Psychology, 36, 199-249."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.1852	.	US				
17	ACipAC1	AggCog	Third	111	0.2441		0.249129282		9.62E-02					"Anderson, C. A., & Carnagey, N. L. (in press). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology"	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.2441	.	US				
23	AD00AC2	AggCog	First	207	0.3698		0.388191397		7.00E-02					"Anderson, C. A., & Dill, K. E. (2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology, 78, 772-790."	Exp	y	2	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.3698	.	US				
81	BA02AC	AggCog	both	224	0.1804		0.182396113		6.73E-02					"Bushman, B. J. & Anderson, C. A.  (2002). Violent video games and hostile expectations: A test of the General Aggression Model. PSPB, 28, 1679-1686."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.1804	.	US				
82	BA09AC1	AggCog	both	243	0.121		0.121595763		6.45E-02					"Bushman, B. J., & Anderson, C. A. (2009). Comfortably numb: Desensitizing effects of violent media on helping others. Psychological Science, 20, 273-277."	Exp	y	1	MF	y		Adult	West	Exp	Exp	0.11	0.135	.	.	0.121	"heard,severity"	US				
86	BBR09AC	AggCog	Third	90	0.4		0.42364893		0.107211253					"Barlett, C. P., Branch, O., Rodeheffer, C., & Harris, R. J. (2009). How long do the short term video game effects last? Aggressive Behavior, 35, 225-236."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.4	.	US				
105	BR09AC	AggCog	Third	71	0.438		0.469753344		0.121267813					"Barlett, C. P., & Rodeheffer, C. 2009). Effects of realism on extended violent and nonviolent video game play on aggressive thoughts, feelings, and physiological arousal. Aggressive Behavior, 35, 213-224."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.438	.	US				
108	BRB08AC1	AggCog	Third	198	0.242		0.246897438		7.16E-02					"Barlett, C. P., Rodeheffer, C., Baldassaro, R., Hinkin, M., & Harris, R. J. (2008). The effect of advances in video game technology and content on aggressive cognitions, hostility, and heart rate. Media Psychology, 11, 540-565."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.242	.	US				
109	BRB08AC2	AggCog	Third	100	0.197		0.199609496		0.101534617					"Barlett, C. P., Rodeheffer, C., Baldassaro, R., Hinkin, M., & Harris, R. J. (2008). The effect of advances in video game technology and content on aggressive cognitions, hostility, and heart rate. Media Psychology, 11, 540-565."	Exp	y	2	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.197	.	US				
133	CA05AC2	AggCog	Third	44	0.3833		0.403922273		0.156173762					"Carnagey, N. L., & Anderson, C.A. (2005). The effects of reward and punishment in violent video games on aggressive affect, cognition, and behavior. Psychological Science, 16, 882-889."	Exp	y	2	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.3833	.	US				
137	CC06AC	AggCog	Third	64	0.0381		3.81E-02		0.12803688					"Cicchirillo, V. & Chory-Assad, R.M. (2006). Effects of affective orientation and video game play on aggressive thoughts and behaviors. Journal of Broadcasting & Electronic Media, 49, 435-449."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.0381	.	US				
157	EG06AC	AggCog	First	219	0.2491		0.254453042		6.80E-02					"Eastin, M. S., & Griffiths, R. P. (2006). Beyond the shooter game: Examining presence and hostile outcomes among male game players. Communication Research, 33, 448-466."	Exp	y	1	M	y		Adult	West	Exp	Exp	.	.	.	.	0.2491	.	US				
213	GM07AC	AggCog	Third	167	0.1918		0.194205248		0.078086881					"Giumetti, G. W., & Markey, P. M. (2007). Violent video games and anger as predictors of aggression. Journal of Research in Personality, 41, 1234-1243."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.1918	.	US				
236	IK07AC	AggCog	First	120	0.0388		3.88E-02		9.25E-02					"Ivory, J. D., & Kalyaraman, S. (2007). The effects of technological advancement and violent content in video games on players' feelings of presence, involvement, physiological arousal, and aggression. Journal of Communication, 57, 532-555."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.0388	.	US				
256	K98AC	AggCog	Third	52	0.234		0.238417017		0.142857143					"Kirsh, S.J. (1998). Seeing the world through Mortal Kombat-colored glasses: Violent video games and the development of a short-term hostile attribution bias. Childhood, 5, 177-184."	Exp	y	1	MF	y		Child	West	Exp	Exp	0.3641	0.0452	0.2744	.	0.234	"2 intent,1 retaliation"	US				
260	KM07AC	AggCog	First	196	0.1499		0.151038136		7.20E-02					"Kirsh, S.J., & Mounts, J.R.W. (2007). Violent video game play impacts facial emotion recognition. Aggressive Behavior, 33, 353-358."	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.1499	.	US				
264	KOM05AC	AggCog	First	128	0.2312		0.235456862		8.94E-02					"Kirsh, S.J., Olczak P.V., & Mounts, J.R.W. (2005) Violent Video Games Induce an Affect Processing Bias. Media Psychology, 7, 239-250"	Exp	y	1	MF	y		Adult	West	Exp	Exp	.	.	.	.	0.2312	.	US				
