	Study name	Outcome	PERSON	Sample size        	Correlation	Cor.Joe	Fisher's Z	Z.Joe	Std Err	Std.Err.Joe	t	df	p	Full Reference	Long Dup	raw r?	Study	SEX	Best?	Best.Joe	AGE	East/West	setting2	Setting	1st	2nd	3rd	4th	aveORonlyR	aveDVs	Country	Concern	Test	p-value	
352	SON01AB2	AggBeh	both	42	0.2735		0.280642906		0.160128154	0.160128154	1.752614384	40	0.087330891	"Sakamoto, A. Ozaki, M., Narushima, R., Mori, T., Sakamoto, K., Takahira, M., et al. (2001). Terebigemu asobi ga ningen no bouryoku koudou ni oyobosu eikyo to sono katei: Joshidaigakusei ni taisuru 2-tsu no shakaishinrigakuteki jikken [The influence of video game play on human violence and its process: Two social psychological experiments of female university students]. Studies in Simulation and Gaming, 11(1), 28-39."	Exp	y	2	F	y	y	Adult	East	Exp	Exp	.	.	.	.	0.2735	.	Japan				
473	YY01ABb	AggBeh	both	50	0.1297		0.130434705		0.145864991	0.145864991	0.894215285	48	0.375668696	"Yukawa, S., & Yoshida, F. (2000). Bouryokuteki terebigemu to kougekikoudou: gemu no seisitsu to insho oyobi sankasei no kouka [Violent video games and aggressive behavior: The effects of game format, impression and participation]. Proceeding of the 41st convention of the Japanese Society of Social Psychology, pp. 74-75."	Exp	y	1	M	y	y	Adult	East	Exp	Exp	.	.	.	.	0.1297	.	Japan				
252	K01AC	AggCog	First	24	0.3748		0.393995973		0.21821789					"Katori, T. (2001). Bouryokuteki bideogemu no kougeki sokushin kouka to sougosayousei [The effects of violent video games and interactivity on aggression].Proceedings of the 42nd convention of the Japanese Society of Social Science, pp. 602-603. "	Exp	y	1	M	y		Adult	East	Exp	Exp	.	.	.	.	0.3748	.	Japan				
475	YY01ACb	AggCog	both	50	0.3037		0.313590526		0.145864991					"Yukawa, S., & Yoshida, F. (2000). Bouryokuteki terebigemu to kougekikoudou: gemu no seisitsu to insho oyobi sankasei no kouka [Violent video games and aggressive behavior: The effects of game format, impression and participation]. Proceeding of the 41st convention of the Japanese Society of Social Psychology, pp. 74-75."	Exp	y	1	M	y		Adult	East	Exp	Exp	.	.	.	.	0.3037	.	Japan				
477	YY01PA	PhysArous	Third	30	0.0181		1.81E-02		0.19245009					"Yukawa, S., & Yoshida, F. (2001). Bouryokuteki terebigemu to kougeki: Gemu _tokusei oyobi sankasei no kouka [Violent video games and aggression: The effects of game format and participation], Tsukuba Psychological Research, 23,115-127. "	Exp	y	1	M	y		Adult	East	Exp	Exp	.	.	.	.	0.0181	.	Japan				
313	NKS99AAL	AggAff	.	181	0.121		0.121595763		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	L	y	1	MF	y		Child	East	Long	Long	.	.	.	.	0.121	.	Japan				
360	SSI04AAfL	AggAff	.	302	0.113		0.113484684		0.057831493					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LS	y	1	F	y		Child	East	Long	Long					0.113		Japan				
363	SSI04AAmL	AggAff	.	289	0.237		0.241593171		5.91E-02					"Shibuya, A., Sakamoto, A., Ihori, N., Yukawa, S. (2004). Media bouryoku heno sesshoku, sesshoku kankyo ga kougekisei ni oyobosu choukiteki eikyou: Shougakusei heno paneru chosa [The long-term effects of media violence and its situational variables on aggression: A panel study to elementary school children]. Proceeding of the 45th convention of the Japanese Society of Social Psychology, pp. 248-249."	LS	y	1	M	y		Child	East	Long	Long					0.237		Japan				
393	SYS02AA2Lb	AggAff	.	780	0.077		7.72E-02		3.59E-02					"Sakamoto, A., Yukawa, S., Shibuya, A., & Ihori, N. (2002) Seishounen to housou ni kansuru chousa kenkyu: Terebi to terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyou wo chuushin toshite[A survey report about the youth and broadcasting: The influence of television and videogame violence on aggression] (Unpublished)."	L	y	2	MF	y		Child	East	Long	Long	0.09	0.065	.	.	0.077	"BP,30"	Japan				
454	YS01AALb	AggAff	.	1050	0.01		1.00E-02		3.09E-02					"Yukawa, S., & Sakamoto, A. (2001). Terebi oyobi terebigemu niokeru bouryoku ga seishounen no kougekisei ni oyobosu eikyo: chugakusei oyobi koukousei wo taisho toshita juudan deta no bunseki [The effects of television and videogame violence on aggression of youth: A longitudinal study of junior high school and high school students]. Proceeding of the 42nd convention of the Japanese Society of Social Psychology, pp. 502-503."	L	y	1	MF	y		Child	East	Long	Long	-0.012	0.032	.	.	0.01	"BP,30"	Japan				
318	NKS99ABL	AggBeh	.	181	0.338		0.351832842		7.50E-02					"Naito, M., Kobayashi, K., & Sakamoto, A. (1999). Terebigemu no shiyou to kougekisei no ingakankei no kentou (3): chugakusei ni taisuru paneru kenkyu [Testing a causal relationship between video game use and aggression: A panel study on junior high school students]. Proceeding of the 40th convention of the Japanese Society of Social Psychology, pp. 288-289."	L	y	1	MF	y		Child	East	Long	Long	.	.	.	.	0.338	.	Japan				
354	SSHipABfL	AggBeh	.	403	0.155		0.156259498		0.05					"Suzuki, K., Sado, M., Horiuchi, Y., & Hasegawa, M., Sakamoto, A. (in press) Chugakusei no terebigeemu shiyou to kougekisei: Bouryoku byousha sicho no eikyou oyobi ninchitekijukuryosei niyoru chouseikouka no kentou [Does video game use grow aggression?: Effects of frequent viewing of violent depictions and moderating role of cognitive reflection on junior high school students]. Journal of Digital Games Research. (in Japanese)."	LS	y	1	F	y		Child	East	Long	Long	0.13	0.18	.	.	0.155	"Vsc,Vs*Wtime"	Japan				
